protein_a,protein_b,string_id_a,string_id_b,combined_score,nscore,fscore,pscore,ascore,escore,dscore,tscore
GLB1,NEU1,9606.ENSP00000306920,9606.ENSP00000364782,0.999,0.059,0.0,0.0,0.172,0.735,0.8,0.997
EIF4EBP1,MTOR,9606.ENSP00000340691,9606.ENSP00000354558,0.999,0.0,0.0,0.0,0.0,0.992,0.9,0.952
EIF4E,EIF4EBP1,9606.ENSP00000425561,9606.ENSP00000340691,0.999,0.0,0.0,0.0,0.0,0.995,0.9,0.999
AKT1,MTOR,9606.ENSP00000451828,9606.ENSP00000354558,0.999,0.0,0.0,0.0,0.06,0.925,0.9,0.954
IL2,IL6,9606.ENSP00000226730,9606.ENSP00000385675,0.999,0.0,0.0,0.0,0.055,0.0,0.0,0.999
CHUK,NFKBIA,9606.ENSP00000359424,9606.ENSP00000216797,0.999,0.0,0.0,0.0,0.0,0.994,0.9,0.972
BTK,SYK,9606.ENSP00000483570,9606.ENSP00000364898,0.999,0.0,0.0,0.0,0.297,0.292,0.9,0.987
GRIN2B,GRIN3A,9606.ENSP00000477455,9606.ENSP00000355155,0.999,0.0,0.0,0.0,0.07,0.292,0.9,0.987
FN1,THBS1,9606.ENSP00000346839,9606.ENSP00000260356,0.999,0.0,0.0,0.0,0.12,0.467,0.72,0.996
CD36,THBS1,9606.ENSP00000415743,9606.ENSP00000260356,0.999,0.0,0.0,0.0,0.092,0.362,0.9,0.996
EIF2AK2,EIF2S1,9606.ENSP00000233057,9606.ENSP00000256383,0.999,0.0,0.0,0.0,0.164,0.885,0.9,0.989
OPRM1,POMC,9606.ENSP00000394624,9606.ENSP00000384092,0.999,0.0,0.0,0.0,0.0,0.905,0.9,0.996
BAD,BCL2L1,9606.ENSP00000378040,9606.ENSP00000365230,0.999,0.0,0.0,0.0,0.102,0.999,0.9,0.964
IL1B,IL2,9606.ENSP00000263341,9606.ENSP00000226730,0.999,0.0,0.0,0.0,0.073,0.0,0.0,0.999
IL2,IL5,9606.ENSP00000226730,9606.ENSP00000231454,0.999,0.0,0.0,0.0,0.266,0.0,0.4,0.999
GRIN1,GRIN3A,9606.ENSP00000360608,9606.ENSP00000355155,0.999,0.0,0.0,0.0,0.138,0.782,0.9,0.991
HSP90AB1,HSPA4,9606.ENSP00000360609,9606.ENSP00000302961,0.999,0.0,0.0,0.0,0.509,0.716,0.0,0.999
HDAC2,KDM1A,9606.ENSP00000430432,9606.ENSP00000383042,0.999,0.0,0.0,0.0,0.133,0.941,0.4,0.997
BCL2,BCL2L1,9606.ENSP00000381185,9606.ENSP00000365230,0.999,0.0,0.0,0.0,0.0,0.863,0.9,0.984
FOSL1,JUNB,9606.ENSP00000310170,9606.ENSP00000303315,0.999,0.0,0.0,0.0,0.101,0.83,0.9,0.996
CDH1,EGFR,9606.ENSP00000261769,9606.ENSP00000275493,0.999,0.0,0.0,0.0,0.055,0.815,0.0,0.995
COL1A1,COL3A1,9606.ENSP00000225964,9606.ENSP00000304408,0.999,0.0,0.0,0.065,0.958,0.0,0.9,0.965
CLDN1,TJP1,9606.ENSP00000295522,9606.ENSP00000348416,0.999,0.0,0.0,0.0,0.096,0.337,0.65,0.999
PTK2,SRC,9606.ENSP00000341189,9606.ENSP00000362680,0.999,0.0,0.0,0.0,0.072,0.929,0.9,0.987
CCNB1,CDK1,9606.ENSP00000256442,9606.ENSP00000378699,0.999,0.0,0.0,0.0,0.895,0.999,0.9,0.999
APOA1,APOB,9606.ENSP00000236850,9606.ENSP00000233242,0.999,0.0,0.0,0.0,0.804,0.603,0.8,0.999
CCNB1,CDK2,9606.ENSP00000256442,9606.ENSP00000266970,0.999,0.0,0.0,0.0,0.442,0.99,0.4,0.992
CHUK,NFKB1,9606.ENSP00000359424,9606.ENSP00000226574,0.999,0.0,0.0,0.0,0.088,0.854,0.9,0.966
IKBKB,NFKB1,9606.ENSP00000430684,9606.ENSP00000226574,0.999,0.0,0.0,0.0,0.125,0.885,0.9,0.979
PLAT,SERPINE1,9606.ENSP00000220809,9606.ENSP00000223095,0.999,0.0,0.0,0.0,0.202,0.959,0.9,0.999
ADA,DPP4,9606.ENSP00000361965,9606.ENSP00000353731,0.999,0.0,0.0,0.0,0.067,0.972,0.0,0.997
ACE2,DPP4,9606.ENSP00000389326,9606.ENSP00000353731,0.999,0.0,0.0,0.0,0.06,0.0,0.9,0.995
RARA,RXRA,9606.ENSP00000254066,9606.ENSP00000419692,0.999,0.0,0.0,0.0,0.113,0.991,0.9,0.983
ACTC1,MYH7,9606.ENSP00000290378,9606.ENSP00000347507,0.999,0.0,0.0,0.0,0.199,0.922,0.9,0.934
JAK2,STAT5A,9606.ENSP00000371067,9606.ENSP00000341208,0.999,0.0,0.0,0.0,0.134,0.802,0.9,0.997
NFKB1,RELA,9606.ENSP00000226574,9606.ENSP00000384273,0.999,0.0,0.0,0.0,0.182,0.999,0.9,0.986
TUBA1A,TUBB4B,9606.ENSP00000439020,9606.ENSP00000341289,0.999,0.0,0.0,0.067,0.428,0.962,0.8,0.807
PIK3CD,PIK3R1,9606.ENSP00000366563,9606.ENSP00000428056,0.999,0.0,0.0,0.0,0.042,0.987,0.914,0.995
CCNA2,SKP2,9606.ENSP00000481380,9606.ENSP00000274255,0.999,0.0,0.0,0.0,0.331,0.983,0.5,0.997
NFKB1,TNF,9606.ENSP00000226574,9606.ENSP00000398698,0.999,0.0,0.0,0.0,0.194,0.0,0.9,0.995
JAK2,STAT1,9606.ENSP00000371067,9606.ENSP00000354394,0.999,0.0,0.0,0.0,0.242,0.838,0.9,0.996
ICAM1,VCAM1,9606.ENSP00000264832,9606.ENSP00000294728,0.999,0.0,0.0,0.0,0.146,0.0,0.0,0.999
APOE,APP,9606.ENSP00000252486,9606.ENSP00000284981,0.999,0.0,0.0,0.0,0.068,0.837,0.72,0.999
NDUFS3,NDUFV2,9606.ENSP00000263774,9606.ENSP00000327268,0.999,0.231,0.0,0.0,0.98,0.998,0.98,0.993
APOB,APOE,9606.ENSP00000233242,9606.ENSP00000252486,0.999,0.0,0.0,0.0,0.361,0.422,0.8,0.999
ICAM1,ITGAL,9606.ENSP00000264832,9606.ENSP00000349252,0.999,0.0,0.0,0.0,0.124,0.983,0.9,0.997
GSTM1,GSTM2,9606.ENSP00000311469,9606.ENSP00000241337,0.999,0.0,0.0,0.05,0.999,0.695,0.65,0.058
CDH1,CTNNB1,9606.ENSP00000261769,9606.ENSP00000495360,0.999,0.0,0.0,0.0,0.063,0.999,0.9,0.999
APOB,MTTP,9606.ENSP00000233242,9606.ENSP00000427679,0.999,0.0,0.0,0.0,0.62,0.622,0.75,0.999
COX5B,UQCRC1,9606.ENSP00000258424,9606.ENSP00000203407,0.999,0.0,0.0,0.0,0.748,0.972,0.635,0.826
IGF1R,INS,9606.ENSP00000497069,9606.ENSP00000380432,0.999,0.0,0.0,0.0,0.0,0.906,0.9,0.998
NDUFS3,NDUFV3,9606.ENSP00000263774,9606.ENSP00000346196,0.999,0.0,0.0,0.0,0.161,0.998,0.967,0.449
CYC1,NDUFS3,9606.ENSP00000317159,9606.ENSP00000263774,0.999,0.0,0.0,0.0,0.899,0.986,0.809,0.483
COX5A,UQCRC1,9606.ENSP00000317780,9606.ENSP00000203407,0.999,0.0,0.0,0.0,0.848,0.966,0.657,0.716
MT-CYB,UQCRC1,9606.ENSP00000354554,9606.ENSP00000203407,0.999,0.0,0.0,0.0,0.0,0.98,0.851,0.752
CYC1,UQCRC1,9606.ENSP00000317159,9606.ENSP00000203407,0.999,0.0,0.0,0.0,0.917,0.992,0.889,0.944
IKBKB,NFKBIA,9606.ENSP00000430684,9606.ENSP00000216797,0.999,0.0,0.0,0.0,0.042,0.994,0.9,0.995
NFKB1,NFKBIA,9606.ENSP00000226574,9606.ENSP00000216797,0.999,0.0,0.0,0.0,0.242,0.997,0.9,0.986
NFKBIA,RELA,9606.ENSP00000216797,9606.ENSP00000384273,0.999,0.0,0.003,0.0,0.147,0.999,0.9,0.999
IL2,IL4,9606.ENSP00000226730,9606.ENSP00000231449,0.999,0.0,0.0,0.0,0.432,0.0,0.0,0.999
CAV1,SRC,9606.ENSP00000339191,9606.ENSP00000362680,0.999,0.0,0.0,0.0,0.051,0.622,0.9,0.994
AXIN1,AXIN2,9606.ENSP00000262320,9606.ENSP00000302625,0.999,0.0,0.0,0.0,0.0,0.503,0.9,0.984
COX5A,COX6C,9606.ENSP00000317780,9606.ENSP00000429707,0.999,0.0,0.0,0.0,0.912,0.996,0.935,0.955
AXIN1,GSK3B,9606.ENSP00000262320,9606.ENSP00000324806,0.999,0.0,0.0,0.0,0.093,0.996,0.9,0.999
AXIN1,LRP5,9606.ENSP00000262320,9606.ENSP00000294304,0.999,0.0,0.0,0.0,0.074,0.658,0.5,0.999
TXN,TXNIP,9606.ENSP00000363641,9606.ENSP00000462521,0.999,0.0,0.0,0.0,0.0,0.991,0.9,0.999
NRF1,PPARGC1A,9606.ENSP00000342351,9606.ENSP00000264867,0.999,0.0,0.0,0.0,0.0,0.292,0.9,0.997
ADRB2,ARRB2,9606.ENSP00000305372,9606.ENSP00000403701,0.999,0.0,0.0,0.0,0.055,0.786,0.7,0.998
IL1A,IL1B,9606.ENSP00000263339,9606.ENSP00000263341,0.999,0.0,0.0,0.0,0.961,0.0,0.9,0.983
BMP2,BMPR2,9606.ENSP00000368104,9606.ENSP00000363708,0.999,0.0,0.0,0.0,0.048,0.832,0.9,0.995
PPARG,PPARGC1A,9606.ENSP00000287820,9606.ENSP00000264867,0.999,0.0,0.0,0.0,0.064,0.992,0.5,0.999
CYBA,NOX4,9606.ENSP00000261623,9606.ENSP00000263317,0.999,0.0,0.0,0.0,0.086,0.045,0.8,0.998
CYBA,NOX1,9606.ENSP00000261623,9606.ENSP00000362057,0.999,0.0,0.0,0.0,0.118,0.051,0.9,0.999
FGF2,FGFR2,9606.ENSP00000264498,9606.ENSP00000410294,0.999,0.0,0.0,0.0,0.067,0.919,0.9,0.997
CYBA,NCF2,9606.ENSP00000261623,9606.ENSP00000356505,0.999,0.0,0.0,0.0,0.145,0.292,0.9,0.999
BAK1,BCL2L1,9606.ENSP00000363591,9606.ENSP00000365230,0.999,0.0,0.0,0.0,0.067,0.996,0.9,0.95
EGFR,EREG,9606.ENSP00000275493,9606.ENSP00000244869,0.999,0.0,0.0,0.0,0.042,0.966,0.9,0.996
CDH5,KDR,9606.ENSP00000497290,9606.ENSP00000263923,0.999,0.0,0.0,0.0,0.482,0.63,0.8,0.998
NCF2,NOX1,9606.ENSP00000356505,9606.ENSP00000362057,0.999,0.0,0.0,0.0,0.067,0.0,0.9,0.998
CYC1,NDUFV2,9606.ENSP00000317159,9606.ENSP00000327268,0.999,0.0,0.0,0.0,0.925,0.99,0.809,0.427
OPRM1,PENK,9606.ENSP00000394624,9606.ENSP00000400894,0.999,0.0,0.0,0.0,0.049,0.994,0.9,0.894
MAP2K1,MAPK3,9606.ENSP00000302486,9606.ENSP00000263025,0.999,0.0,0.0,0.0,0.122,0.884,0.9,0.974
CYC1,MT-CYB,9606.ENSP00000317159,9606.ENSP00000354554,0.999,0.111,0.9,0.0,0.69,0.987,0.967,0.998
CYBB,NCF2,9606.ENSP00000367851,9606.ENSP00000356505,0.999,0.0,0.0,0.0,0.355,0.292,0.9,0.999
CSF2,CSF3,9606.ENSP00000296871,9606.ENSP00000225474,0.999,0.0,0.0,0.0,0.4,0.0,0.4,0.998
NCF2,NCF4,9606.ENSP00000356505,9606.ENSP00000380334,0.999,0.0,0.0,0.0,0.455,0.892,0.9,0.99
KDR,NRP1,9606.ENSP00000263923,9606.ENSP00000265371,0.999,0.0,0.0,0.0,0.074,0.828,0.7,0.997
IGF1R,IGF2,9606.ENSP00000497069,9606.ENSP00000391826,0.999,0.0,0.0,0.0,0.044,0.915,0.9,0.999
MYD88,TLR4,9606.ENSP00000498321,9606.ENSP00000363089,0.999,0.0,0.0,0.0,0.158,0.974,0.9,0.992
TLR4,TRAF6,9606.ENSP00000363089,9606.ENSP00000433623,0.999,0.0,0.0,0.0,0.117,0.923,0.9,0.997
FASLG,TNFRSF10B,9606.ENSP00000356694,9606.ENSP00000276431,0.999,0.0,0.0,0.0,0.0,0.448,0.5,0.997
CASP8,TNFRSF10B,9606.ENSP00000351273,9606.ENSP00000276431,0.999,0.0,0.0,0.0,0.056,0.92,0.5,0.99
CYBA,NCF1,9606.ENSP00000261623,9606.ENSP00000289473,0.999,0.0,0.0,0.0,0.191,0.755,0.9,0.999
CYBA,NCF4,9606.ENSP00000261623,9606.ENSP00000380334,0.999,0.0,0.0,0.0,0.226,0.236,0.9,0.999
HDAC1,SNAI1,9606.ENSP00000362649,9606.ENSP00000244050,0.999,0.0,0.0,0.0,0.0,0.823,0.5,0.992
EGFR,PTK2,9606.ENSP00000275493,9606.ENSP00000341189,0.999,0.0,0.0,0.0,0.086,0.994,0.9,0.926
HBA2,HBB,9606.ENSP00000251595,9606.ENSP00000494175,0.999,0.0,0.0,0.064,0.686,0.998,0.9,0.9
CCNA2,CDKN1A,9606.ENSP00000481380,9606.ENSP00000384849,0.999,0.0,0.0,0.0,0.0,0.924,0.9,0.995
ACE2,AGT,9606.ENSP00000389326,9606.ENSP00000355627,0.999,0.0,0.0,0.0,0.042,0.739,0.75,0.989
AGT,AGTR1,9606.ENSP00000355627,9606.ENSP00000398832,0.999,0.0,0.0,0.0,0.06,0.994,0.9,0.999
AGT,AGTR2,9606.ENSP00000355627,9606.ENSP00000360973,0.999,0.0,0.0,0.0,0.0,0.994,0.9,0.999
MMP2,TIMP2,9606.ENSP00000219070,9606.ENSP00000262768,0.999,0.0,0.0,0.0,0.154,0.985,0.5,0.999
HBA1,HBA2,9606.ENSP00000322421,9606.ENSP00000251595,0.999,0.0,0.0,0.048,0.999,0.9,0.9,0.499
RRM1,RRM2B,9606.ENSP00000300738,9606.ENSP00000251810,0.999,0.0,0.0,0.535,0.62,0.902,0.9,0.995
LALBA,LTF,9606.ENSP00000301046,9606.ENSP00000231751,0.999,0.0,0.0,0.0,0.065,0.0,0.0,0.999
EGLN1,HIF1A,9606.ENSP00000355601,9606.ENSP00000437955,0.999,0.0,0.0,0.0,0.05,0.968,0.9,0.981
CALML5,RYR2,9606.ENSP00000369689,9606.ENSP00000355533,0.999,0.0,0.0,0.0,0.0,0.409,0.9,0.993
BCL2,BECN1,9606.ENSP00000381185,9606.ENSP00000355231,0.999,0.0,0.0,0.0,0.0,0.996,0.9,0.998
BCL2L1,BECN1,9606.ENSP00000365230,9606.ENSP00000355231,0.999,0.0,0.0,0.0,0.078,0.956,0.9,0.996
IKBKB,RELA,9606.ENSP00000430684,9606.ENSP00000384273,0.999,0.0,0.0,0.0,0.067,0.877,0.9,0.957
LYN,SYK,9606.ENSP00000428924,9606.ENSP00000364898,0.999,0.0,0.0,0.094,0.367,0.339,0.9,0.986
CRBN,DDB1,9606.ENSP00000231948,9606.ENSP00000301764,0.999,0.0,0.0,0.0,0.0,0.991,0.9,0.999
ATP5F1E,MT-ATP6,9606.ENSP00000243997,9606.ENSP00000354632,0.999,0.0,0.0,0.0,0.124,0.966,0.967,0.5
COX5A,COX6B1,9606.ENSP00000317780,9606.ENSP00000466818,0.999,0.0,0.0,0.0,0.84,0.974,0.876,0.969
E2F1,RB1,9606.ENSP00000345571,9606.ENSP00000267163,0.999,0.0,0.0,0.0,0.067,0.999,0.9,0.995
AR,NCOA2,9606.ENSP00000363822,9606.ENSP00000399968,0.999,0.0,0.0,0.0,0.047,0.989,0.5,0.906
EGFR,SRC,9606.ENSP00000275493,9606.ENSP00000362680,0.999,0.0,0.0,0.0,0.042,0.928,0.9,0.988
EGFR,HSP90AA1,9606.ENSP00000275493,9606.ENSP00000335153,0.999,0.0,0.0,0.0,0.049,0.854,0.5,0.993
CAV1,EGFR,9606.ENSP00000339191,9606.ENSP00000275493,0.999,0.0,0.0,0.0,0.206,0.882,0.8,0.986
EGFR,TGFA,9606.ENSP00000275493,9606.ENSP00000404131,0.999,0.0,0.0,0.0,0.062,0.983,0.9,0.998
EGFR,PTPN11,9606.ENSP00000275493,9606.ENSP00000489597,0.999,0.0,0.0,0.0,0.042,0.995,0.9,0.991
HSP90AA1,NR3C1,9606.ENSP00000335153,9606.ENSP00000231509,0.999,0.0,0.0,0.0,0.054,0.994,0.5,0.996
HDAC1,RB1,9606.ENSP00000362649,9606.ENSP00000267163,0.999,0.0,0.0,0.0,0.085,0.987,0.9,0.962
E2F2,RB1,9606.ENSP00000355249,9606.ENSP00000267163,0.999,0.0,0.0,0.0,0.086,0.99,0.9,0.756
PPARA,RXRA,9606.ENSP00000385523,9606.ENSP00000419692,0.999,0.0,0.0,0.0,0.084,0.84,0.9,0.986
ALB,INS,9606.ENSP00000295897,9606.ENSP00000380432,0.999,0.0,0.0,0.0,0.056,0.0,0.0,0.999
BAK1,BID,9606.ENSP00000363591,9606.ENSP00000318822,0.999,0.0,0.0,0.0,0.055,0.975,0.9,0.656
EGLN3,HIF1A,9606.ENSP00000250457,9606.ENSP00000437955,0.999,0.0,0.0,0.0,0.056,0.942,0.9,0.95
BCL2L1,BID,9606.ENSP00000365230,9606.ENSP00000318822,0.999,0.0,0.0,0.0,0.055,0.99,0.9,0.616
FTH1,FTL,9606.ENSP00000273550,9606.ENSP00000366525,0.999,0.0,0.0,0.062,0.398,0.831,0.9,0.983
NFKB1,NFKB2,9606.ENSP00000226574,9606.ENSP00000358983,0.999,0.0,0.0,0.067,0.276,0.835,0.9,0.984
AXIN2,CTNNB1,9606.ENSP00000302625,9606.ENSP00000495360,0.999,0.0,0.0,0.0,0.057,0.869,0.9,0.993
CTSG,MPO,9606.ENSP00000216336,9606.ENSP00000225275,0.999,0.0,0.0,0.0,0.961,0.044,0.0,0.997
CALM3,MYLK,9606.ENSP00000291295,9606.ENSP00000353452,0.999,0.0,0.0,0.0,0.044,0.925,0.65,0.993
ERBB2,HSP90AA1,9606.ENSP00000269571,9606.ENSP00000335153,0.999,0.0,0.0,0.0,0.0,0.898,0.5,0.985
ERBB2,SRC,9606.ENSP00000269571,9606.ENSP00000362680,0.999,0.0,0.0,0.0,0.049,0.85,0.9,0.98
CD44,ERBB2,9606.ENSP00000398632,9606.ENSP00000269571,0.999,0.0,0.0,0.0,0.0,0.695,0.9,0.992
EGFR,ERBB2,9606.ENSP00000275493,9606.ENSP00000269571,0.999,0.0,0.0,0.064,0.08,0.998,0.9,0.983
APOA1,APOE,9606.ENSP00000236850,9606.ENSP00000252486,0.999,0.0,0.0,0.0,0.222,0.114,0.8,0.999
CLDN5,TJP1,9606.ENSP00000385477,9606.ENSP00000348416,0.999,0.0,0.0,0.0,0.053,0.301,0.65,0.999
NFATC1,PPP3CA,9606.ENSP00000389377,9606.ENSP00000378323,0.999,0.0,0.0,0.0,0.0,0.976,0.9,0.85
ABCC8,KCNJ11,9606.ENSP00000494321,9606.ENSP00000345708,0.999,0.0,0.036,0.0,0.227,0.992,0.72,0.999
BAX,BCL2L1,9606.ENSP00000293288,9606.ENSP00000365230,0.999,0.0,0.0,0.0,0.082,0.999,0.9,0.882
INSR,PTPN1,9606.ENSP00000303830,9606.ENSP00000360683,0.999,0.0,0.0,0.0,0.055,0.991,0.9,0.76
INS,INSR,9606.ENSP00000380432,9606.ENSP00000303830,0.999,0.0,0.0,0.0,0.0,0.983,0.9,0.999
IGF1,INSR,9606.ENSP00000376637,9606.ENSP00000303830,0.999,0.0,0.0,0.0,0.049,0.966,0.9,0.995
IGF2,IGFBP3,9606.ENSP00000391826,9606.ENSP00000370473,0.999,0.0,0.0,0.0,0.19,0.789,0.5,0.999
IGF1,IGFBP3,9606.ENSP00000376637,9606.ENSP00000370473,0.999,0.0,0.0,0.0,0.061,0.881,0.9,0.999
FGF4,FGFR2,9606.ENSP00000168712,9606.ENSP00000410294,0.999,0.0,0.0,0.0,0.0,0.483,0.9,0.995
CALM3,NOS1,9606.ENSP00000291295,9606.ENSP00000477999,0.999,0.0,0.0,0.0,0.0,0.902,0.9,0.994
CALM3,RYR2,9606.ENSP00000291295,9606.ENSP00000355533,0.999,0.0,0.0,0.0,0.0,0.938,0.9,0.994
E2F1,HDAC1,9606.ENSP00000345571,9606.ENSP00000362649,0.999,0.0,0.0,0.0,0.085,0.791,0.5,0.992
CD44,SPP1,9606.ENSP00000398632,9606.ENSP00000378517,0.999,0.0,0.0,0.0,0.143,0.369,0.9,0.996
CALML5,NOS1,9606.ENSP00000369689,9606.ENSP00000477999,0.999,0.0,0.0,0.0,0.0,0.066,0.9,0.995
CALM3,NOS3,9606.ENSP00000291295,9606.ENSP00000297494,0.999,0.0,0.0,0.0,0.0,0.927,0.9,0.996
CALM3,PPP3CA,9606.ENSP00000291295,9606.ENSP00000378323,0.999,0.0,0.0,0.0,0.051,0.927,0.9,0.983
ICAM2,ITGAL,9606.ENSP00000415283,9606.ENSP00000349252,0.999,0.0,0.0,0.0,0.114,0.0,0.9,0.994
CALM3,CAMKK2,9606.ENSP00000291295,9606.ENSP00000312741,0.999,0.0,0.0,0.0,0.067,0.343,0.9,0.985
CALM3,NOS2,9606.ENSP00000291295,9606.ENSP00000327251,0.999,0.0,0.0,0.0,0.0,0.902,0.9,0.927
CALM3,SCN5A,9606.ENSP00000291295,9606.ENSP00000328968,0.999,0.0,0.0,0.0,0.0,0.988,0.0,0.986
ABCA1,APOA1,9606.ENSP00000363868,9606.ENSP00000236850,0.999,0.0,0.0,0.0,0.055,0.697,0.9,0.999
PPP3CA,PPP3R1,9606.ENSP00000378323,9606.ENSP00000234310,0.999,0.0,0.0,0.0,0.128,0.997,0.9,0.998
APOA1,SCARB1,9606.ENSP00000236850,9606.ENSP00000261693,0.999,0.0,0.0,0.0,0.09,0.292,0.7,0.998
CCNA2,E2F1,9606.ENSP00000481380,9606.ENSP00000345571,0.999,0.0,0.0,0.0,0.244,0.813,0.9,0.989
NCF2,RAC1,9606.ENSP00000356505,9606.ENSP00000348461,0.999,0.0,0.0,0.0,0.103,0.982,0.54,0.972
CALM3,RYR1,9606.ENSP00000291295,9606.ENSP00000352608,0.999,0.0,0.0,0.0,0.0,0.938,0.9,0.979
BAD,BCL2,9606.ENSP00000378040,9606.ENSP00000381185,0.999,0.0,0.0,0.0,0.063,0.908,0.9,0.926
CRK,SRC,9606.ENSP00000300574,9606.ENSP00000362680,0.999,0.0,0.0,0.0,0.086,0.733,0.9,0.995
ACE,AGT,9606.ENSP00000290866,9606.ENSP00000355627,0.999,0.0,0.0,0.0,0.0,0.733,0.75,0.989
AHSA1,HSP90AB1,9606.ENSP00000216479,9606.ENSP00000360609,0.999,0.0,0.0,0.0,0.504,0.938,0.0,0.995
ATG5,ATG7,9606.ENSP00000358072,9606.ENSP00000346437,0.999,0.0,0.0,0.0,0.053,0.252,0.9,0.999
CHEK2,TP53,9606.ENSP00000372023,9606.ENSP00000269305,0.999,0.0,0.0,0.0,0.072,0.833,0.75,0.992
ATM,TP53,9606.ENSP00000278616,9606.ENSP00000269305,0.999,0.0,0.0,0.0,0.103,0.928,0.9,0.975
CCNA2,CDKN1B,9606.ENSP00000481380,9606.ENSP00000228872,0.999,0.0,0.0,0.0,0.0,0.999,0.9,0.997
CDK2,CDKN1B,9606.ENSP00000266970,9606.ENSP00000228872,0.999,0.0,0.0,0.0,0.085,0.999,0.9,0.999
CDKN1B,SKP2,9606.ENSP00000228872,9606.ENSP00000274255,0.999,0.0,0.0,0.0,0.0,0.999,0.9,0.947
CCND3,CDKN1B,9606.ENSP00000362082,9606.ENSP00000228872,0.999,0.0,0.0,0.0,0.098,0.994,0.9,0.901
CDK4,CDKN1B,9606.ENSP00000257904,9606.ENSP00000228872,0.999,0.0,0.0,0.0,0.087,0.999,0.9,0.996
HSP90AA1,TP53,9606.ENSP00000335153,9606.ENSP00000269305,0.999,0.0,0.0,0.0,0.0,0.903,0.0,0.995
TF,TFRC,9606.ENSP00000385834,9606.ENSP00000376197,0.999,0.042,0.0,0.0,0.143,0.986,0.9,0.798
HDAC1,TP53,9606.ENSP00000362649,9606.ENSP00000269305,0.999,0.0,0.0,0.0,0.109,0.924,0.5,0.994
HIF1A,TP53,9606.ENSP00000437955,9606.ENSP00000269305,0.999,0.0,0.0,0.0,0.0,0.847,0.0,0.994
GRIN1,GRIN2C,9606.ENSP00000360608,9606.ENSP00000293190,0.999,0.0,0.0,0.0,0.277,0.811,0.9,0.989
UGT1A3,UGT1A9,9606.ENSP00000418532,9606.ENSP00000346768,0.999,0.0,0.0,0.055,0.999,0.994,0.0,0.06
SFN,TP53,9606.ENSP00000340989,9606.ENSP00000269305,0.999,0.0,0.0,0.0,0.0,0.981,0.75,0.859
ATG12,ATG7,9606.ENSP00000425107,9606.ENSP00000346437,0.999,0.0,0.0,0.0,0.048,0.922,0.9,0.999
IGF1,IGF1R,9606.ENSP00000376637,9606.ENSP00000497069,0.999,0.0,0.0,0.0,0.0,0.983,0.9,0.999
IGF1,INS,9606.ENSP00000376637,9606.ENSP00000380432,0.999,0.0,0.0,0.0,0.0,0.0,0.9,0.999
CD44,FN1,9606.ENSP00000398632,9606.ENSP00000346839,0.999,0.0,0.0,0.0,0.073,0.292,0.9,0.996
AHSA1,HSP90AA1,9606.ENSP00000216479,9606.ENSP00000335153,0.999,0.0,0.0,0.0,0.477,0.968,0.0,0.997
GRIN1,GRIN3B,9606.ENSP00000360608,9606.ENSP00000234389,0.999,0.0,0.0,0.0,0.123,0.782,0.9,0.989
